compound_id,smiles
ZINC000000073693,O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21
ZINC000000073700,O=c1ccc2ccc3occc3c2o1
ZINC000000074709,O=c1ccc2ccccc2o1
ZINC000000075008,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
ZINC000000084153,O=C(O)c1ccc2ccccc2n1
ZINC000000105196,N[C@@H](Cc1ccccc1)C(=O)O
ZINC000000105309,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
ZINC000000113294,CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccccc1)CC2=O
ZINC000000113309,COc1cc2ccc(=O)oc2c(O)c1O
ZINC000000113355,CNC[C@H](O)c1cccc(O)c1
ZINC000000113382,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
ZINC000000114127,CC(C)(S)[C@@H](N)C(=O)O
ZINC000000114134,CC(=O)N[C@@H](C)C(=O)O
ZINC000000116202,COc1ccc(/C=C/C(=O)O)cc1OC
ZINC000000119434,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46
ZINC000000119675,COc1cc(CCN)ccc1O
ZINC000000119983,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
ZINC000000119988,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2
ZINC000000120179,COc1c2ccoc2cc2oc(C)cc(=O)c12
ZINC000000120249,Cc1ncc(CO)c(C=O)c1O
ZINC000000120273,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12
ZINC000000120283,O=c1ccc2cc3ccoc3cc2o1
ZINC000000135384,CC(=O)N[C@@H](CC(C)C)C(=O)O
ZINC000000135391,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O
ZINC000000135449,COc1cc2c(cc1O)C[C@H]1c3c(cc(O)c(OC)c3-2)CCN1C
ZINC000000135467,CC(=O)C1=C(O)[C@]2(C)C(=CC1=O)Oc1c(C(C)=O)c(O)c(C)c(O)c12
ZINC000000137119,COC1=CC(=O)C=C(OC)C1=O
ZINC000000149577,COc1ccccc1/C=C/C(=O)O
ZINC000000152538,CCOC(=O)CCc1ccc(O)cc1
